time	distance	eps	steps
1.927	5.24775	0.02	264
1.432	5.28329	0.02	266
1.662	5.50799	0.02	277
2.689	5.52025	0.02	278
2.121	5.2678	0.02	265
1.494	5.82467	0.02	293
1.4	5.32747	0.02	268
1.828	5.30056	0.02	267
1.962	5.59242	0.02	281
1.271	5.33958	0.02	268
1.474	5.33652	0.03	179
1.361	5.57773	0.03	187
1.621	5.31499	0.03	179
1.564	5.32116	0.03	179
0.913	5.49413	0.03	185
1.42	5.64622	0.03	190
1.488	5.31129	0.03	179
0.978	5.25369	0.03	177
1.161	5.34101	0.03	180
0.715	5.66233	0.03	190
0.636	5.12333	0.04	130
0.622	5.3674	0.04	136
0.678	5.51512	0.04	139
0.576	5.66547	0.04	143
1.031	5.43184	0.04	137
1.272	5.68308	0.04	144
0.974	5.6331	0.04	142
1.268	5.35101	0.04	135
0.883	5.65001	0.04	143
0.671	5.46056	0.04	138
0.625	5.59393	0.05	113
0.797	5.5636	0.05	113
0.92	5.71219	0.05	116
0.945	5.68876	0.05	115
0.563	5.73189	0.05	116
0.536	5.51801	0.05	112
1.305	5.68231	0.05	115
0.559	5.44139	0.05	110
0.527	5.47616	0.05	111
0.841	5.48784	0.05	111
0.472	5.35428	0.06	91
0.603	5.27536	0.06	89
0.53	5.44799	0.06	92
0.342	5.54297	0.06	94
0.388	5.58529	0.06	95
0.715	5.30716	0.06	90
0.537	5.63077	0.06	95
0.599	5.61861	0.06	95
0.488	5.38492	0.06	91
0.428	5.60445	0.06	95
0.432	5.55394	0.07	81
0.927	6.23332	0.07	91
0.416	5.56438	0.07	81
0.803	5.69263	0.07	83
0.418	5.41571	0.07	79
0.426	5.54033	0.07	81
0.304	5.4084	0.07	79
0.346	5.90804	0.07	86
0.55	5.39182	0.07	79
0.424	5.64867	0.07	82
0.364	5.54214	0.08	71
0.579	5.56994	0.08	71
0.508	5.81313	0.08	74
0.463	5.44866	0.08	70
0.265	5.54133	0.08	71
0.319	5.51331	0.08	70
0.399	5.43723	0.08	69
0.276	5.39955	0.08	69
0.447	5.4912	0.08	70
0.512	5.73653	0.08	73
1.256	6.73232	0.09	76
0.469	5.34679	0.09	61
0.479	5.72688	0.09	65
0.571	5.5336	0.09	63
0.495	5.62315	0.09	64
0.524	5.13985	0.09	59
0.543	5.61544	0.09	64
0.355	5.77284	0.09	66
0.398	5.41653	0.09	62
0.629	5.39103	0.09	61
0.337	5.52003	0.1	57
0.42	5.30758	0.1	55
0.365	5.57193	0.1	57
0.699	6.12387	0.1	63
0.679	5.43695	0.1	56
0.514	6.02094	0.1	62
0.471	5.55957	0.1	57
0.346	5.47127	0.1	56
0.381	5.9288	0.1	61
0.403	5.99959	0.1	61
0.503	5.40374	0.11	51
0.386	5.25555	0.11	49
0.353	5.84739	0.11	55
0.488	5.78446	0.11	54
0.735	5.81306	0.11	54
0.345	5.73573	0.11	54
0.607	5.49307	0.11	51
0.592	5.60431	0.11	52
0.442	5.46778	0.11	51
0.419	5.21069	0.11	49
0.462	5.48838	0.12	47
0.341	5.57559	0.12	48
0.409	5.43729	0.12	47
0.409	5.27644	0.12	45
0.381	5.5923	0.12	48
0.418	5.56574	0.12	48
0.472	5.77846	0.12	50
0.599	5.95292	0.12	51
0.381	5.34124	0.12	46
0.354	5.56347	0.12	48
0.445	5.79921	0.13	46
0.396	5.47717	0.13	44
0.309	5.43378	0.13	43
0.357	5.30659	0.13	42
0.402	5.95558	0.13	47
0.332	5.48857	0.13	44
0.383	5.81354	0.13	46
0.356	5.74033	0.13	46
0.247	5.53192	0.13	44
0.316	6.14199	0.13	49
0.361	5.86785	0.14	43
0.494	6.16434	0.14	46
0.271	5.41845	0.14	40
0.326	5.47036	0.14	41
0.299	5.60288	0.14	42
0.548	5.9144	0.14	44
0.28	5.50751	0.14	41
0.264	5.47854	0.14	41
0.557	5.89862	0.14	44
0.216	5.47347	0.14	41
0.25	6.10758	0.15	42
0.39	5.08754	0.15	35
0.219	5.64609	0.15	39
0.356	5.63035	0.15	39
0.353	5.95307	0.15	41
0.258	5.47502	0.15	38
0.408	5.40781	0.15	38
0.274	6.00799	0.15	42
0.299	5.64776	0.15	39
0.295	5.84996	0.15	40
0.324	5.61764	0.16	37
0.339	5.88071	0.16	38
0.273	5.49302	0.16	36
0.372	5.89099	0.16	38
0.38	5.33953	0.16	35
0.336	5.7859	0.16	38
0.424	5.95764	0.16	39
0.217	6.17524	0.16	40
0.541	6.16695	0.16	40
0.329	6.35354	0.16	41
0.307	5.46006	0.17	34
0.329	6.18871	0.17	38
0.434	6.28115	0.17	38
0.329	5.36256	0.17	33
0.404	5.74199	0.17	35
0.783	5.75222	0.17	35
0.274	5.65084	0.17	35
0.289	6.02258	0.17	37
0.288	5.90202	0.17	36
0.279	5.43391	0.17	33
0.229	5.48416	0.18	32
0.253	5.52985	0.18	32
0.3	5.91905	0.18	34
0.266	6.47723	0.18	37
0.317	5.67944	0.18	33
0.357	5.69645	0.18	33
0.264	6.18143	0.18	36
0.257	6.15204	0.18	36
0.376	5.87357	0.18	34
0.555	5.81236	0.18	34
0.397	5.68617	0.19	31
0.208	5.55295	0.19	31
0.256	5.71049	0.19	32
0.37	5.48556	0.19	30
0.364	5.51973	0.19	31
0.364	5.91428	0.19	33
0.392	5.3343	0.19	30
0.276	5.48066	0.19	30
0.288	5.64216	0.19	31
0.303	5.68443	0.19	31
0.278	5.6763	0.2	30
0.304	5.64319	0.2	30
0.277	6.26903	0.2	33
0.33	5.57879	0.2	29
0.33	5.67372	0.2	30
0.359	5.61647	0.2	30
0.353	6.252	0.2	33
0.37	5.9763	0.2	31
0.35	5.79243	0.2	30
0.24	5.72172	0.2	30
0.229	5.83396	0.21	29
0.259	5.67102	0.21	29
0.289	5.66433	0.21	28
0.254	5.94465	0.21	30
0.311	5.38682	0.21	27
0.261	5.71369	0.21	29
0.249	5.34653	0.21	27
0.276	5.70707	0.21	29
0.307	5.97813	0.21	30
0.221	5.84459	0.21	29
0.407	5.7221	0.22	28
0.543	5.72029	0.22	28
0.169	5.26975	0.22	25
